Ticker,Name,Sector,Industry
A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research
AA,Alcoa Inc.,Basic Materials,Aluminum
AAME,Atlantic American Corp.,Financial,Life Insurance
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services
AAON,AAON Inc.,Industrial Goods,General Building Materials
AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores
AAT,"American Assets Trust, Inc.",Financial,REIT - Retail
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment
AAWW,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other"
ABAX,"Abaxis, Inc.",Healthcare,Diagnostic Substances
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks
ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services
ABCO,The Advisory Board Company,Services,Business Services
AB,AllianceBernstein Holding L.P.,Financial,Asset Management
ABFS,Arkansas Best Corporation,Services,Trucking
ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology
ABM,ABM Industries Incorporated,Services,Business Services
ABMC,American Bio Medica Corp.,,
ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment
ABPI,"Accentia Biopharmaceuticals, Inc.",,
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment
ABTL,Autobytel Inc.,Technology,Internet Information Providers
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology
ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles
ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified
ACC,"American Campus Communities, Inc.",Financial,REIT - Residential
ACCL,Accelrys Inc.,Technology,Application Software
ACE,ACE Limited,Financial,Property & Casualty Insurance
ACEL,"Tamir Biotechnology, Inc.",,
ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified
ACFC,Atlantic Coast Financial Corporation,Financial,Regional - Southeast Banks
ACFN,"Acorn Energy, Inc.",Industrial Goods,Aerospace/Defense Products & Services
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology
ACI,Arch Coal Inc.,Basic Materials,Industrial Metals & Minerals
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software
ACM,AECOM Technology Corporation,Services,Technical Services
ACLS,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials
