,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
0,0,0,0,0,0,0,0,0,2014-09-15,92.699997,99.699997,89.949997,93.889999,93.889999,271879400,94.824997,original/BABA
1,1,1,1,1,1,1,1,1,2014-09-22,92.699997,92.949997,86.620003,90.459999,90.459999,184693600,89.785,original/BABA
2,2,2,2,2,2,2,2,2,2014-09-29,89.620003,90.879997,85.611,88.099998,88.099998,113706400,88.2454985,original/BABA
3,3,3,3,3,3,3,3,3,2014-10-06,89.150002,90.349998,85.239998,85.879997,85.879997,69251100,87.79499799999999,original/BABA
4,4,4,4,4,4,4,4,4,2014-10-13,86.849998,90.900002,82.809998,87.910004,87.910004,79821200,86.85499999999999,original/BABA
5,5,5,5,5,5,5,5,5,2014-10-20,88.0,98.0,87.860001,95.760002,95.760002,106273300,92.9300005,original/BABA
6,6,6,6,6,6,6,6,6,2014-10-27,97.0,100.66999799999999,96.300003,98.599998,98.599998,122698300,98.4850005,original/BABA
7,7,7,7,7,7,7,7,7,2014-11-03,99.66999799999999,114.769997,99.050003,114.559998,114.559998,242107700,106.91,original/BABA
8,8,8,8,8,8,8,8,8,2014-11-10,117.269997,120.0,113.349998,115.099998,115.099998,292874600,116.674999,original/BABA
9,9,9,9,9,9,9,9,9,2014-11-17,115.440002,115.629997,107.220001,110.730003,110.730003,174433000,111.424999,original/BABA
10,10,10,10,10,10,10,10,10,2014-11-24,112.0,115.16999799999999,111.110001,111.639999,111.639999,64003500,113.13999949999999,original/BABA
11,11,11,11,11,11,11,11,11,2014-12-01,110.019997,111.68,103.896004,107.900002,107.900002,96397700,107.788002,original/BABA
12,12,12,12,12,12,12,12,12,2014-12-08,105.970001,107.949997,101.199997,105.110001,105.110001,92772700,104.574997,original/BABA
13,13,13,13,13,13,13,13,13,2014-12-15,106.389999,111.199997,103.699997,110.650002,110.650002,93179400,107.449997,original/BABA
14,14,14,14,14,14,14,14,14,2014-12-22,110.629997,110.980003,103.879997,105.949997,105.949997,44537000,107.43,original/BABA
15,15,15,15,15,15,15,15,15,2014-12-29,105.949997,107.660004,102.519997,103.599998,103.599998,40861100,105.0900005,original/BABA
16,16,16,16,16,16,16,16,16,2015-01-05,102.760002,105.339996,99.900002,103.019997,103.019997,68219000,102.619999,original/BABA
17,17,17,17,17,17,17,17,17,2015-01-12,103.199997,103.360001,95.519997,96.889999,96.889999,68687600,99.439999,original/BABA
