,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
0,0,0,0,0,0,0,0,0,2014-06-16,92.290001,92.550003,90.900002,90.910004,83.321236,136426000,91.7250025,original/AAPL
1,1,1,1,1,1,1,1,1,2014-06-23,91.32,92.0,89.650002,91.980003,84.301926,216257000,90.825001,original/AAPL
2,2,2,2,2,2,2,2,2,2014-06-30,92.099998,94.099998,92.089996,94.029999,86.18079399999998,139062100,93.094997,original/AAPL
3,3,3,3,3,3,3,3,3,2014-07-07,94.139999,96.800003,93.519997,95.220001,87.271454,231830000,95.16,original/AAPL
4,4,4,4,4,4,4,4,4,2014-07-14,95.860001,97.099998,92.57,94.43,86.54740100000002,248970200,94.834999,original/AAPL
5,5,5,5,5,5,5,5,5,2014-07-21,94.989998,97.879997,93.720001,97.66999799999999,89.51694499999998,276392000,95.799999,original/AAPL
6,6,6,6,6,6,6,6,6,2014-07-28,97.82,99.440002,94.809998,96.129997,88.105499,236825000,97.125,original/AAPL
7,7,7,7,7,7,7,7,7,2014-08-04,96.370003,96.58000200000001,93.279999,94.739998,86.831535,223025000,94.9300005,original/AAPL
8,8,8,8,8,8,8,8,8,2014-08-11,95.269997,98.190002,94.839996,97.980003,90.247765,179363000,96.514999,original/AAPL
9,9,9,9,9,9,9,9,9,2014-08-18,98.489998,101.470001,97.980003,101.32,93.324173,247332000,99.72500199999999,original/AAPL
10,10,10,10,10,10,10,10,10,2014-08-25,101.790001,102.900002,100.699997,102.5,94.411041,238846000,101.7999995,original/AAPL
11,11,11,11,11,11,11,11,11,2014-09-01,103.059998,103.739998,97.790001,98.970001,91.159615,323160000,100.7649995,original/AAPL
12,12,12,12,12,12,12,12,12,2014-09-08,99.300003,103.08000200000001,96.139999,101.660004,93.637337,462051800,99.61000050000001,original/AAPL
13,13,13,13,13,13,13,13,13,2014-09-15,102.809998,103.050003,98.889999,100.959999,92.992592,297352900,100.970001,original/AAPL
14,14,14,14,14,14,14,14,14,2014-09-22,101.800003,102.940002,97.720001,100.75,92.799133,338824900,100.33000150000001,original/AAPL
15,15,15,15,15,15,15,15,15,2014-09-29,98.650002,101.540001,98.040001,99.620003,91.758347,247749100,99.790001,original/AAPL
16,16,16,16,16,16,16,16,16,2014-10-06,99.949997,102.379997,98.309998,100.730003,92.780716,280258200,100.3449975,original/AAPL
17,17,17,17,17,17,17,17,17,2014-10-13,101.33000200000001,101.779999,95.18,97.66999799999999,89.962227,358539800,98.4799995,original/AAPL
18,18,18,18,18,18,18,18,18,2014-10-20,98.32,105.489998,98.220001,105.220001,96.916382,358532900,101.85499949999999,original/AAPL
19,19,19,19,19,19,19,19,19,2014-10-27,104.849998,108.040001,104.699997,108.0,99.476997,220230600,106.369999,original/AAPL
20,20,20,20,20,20,20,20,20,2014-11-03,108.220001,110.300003,107.720001,109.010002,100.40731,199952900,109.010002,original/AAPL
21,21,21,21,21,21,21,21,21,2014-11-10,109.019997,114.190002,108.400002,114.18,105.62531299999999,205166700,111.29500200000001,original/AAPL
22,22,22,22,22,22,22,22,22,2014-11-17,114.269997,117.57,113.300003,116.470001,107.74375900000001,233414700,115.4350015,original/AAPL
23,23,23,23,23,23,23,23,23,2014-11-24,116.849998,119.75,116.620003,118.93,110.019447,181873900,118.1850015,original/AAPL
24,24,24,24,24,24,24,24,24,2014-12-01,118.809998,119.25,111.269997,115.0,106.383896,266589700,115.2599985,original/AAPL
25,25,25,25,25,25,25,25,25,2014-12-08,114.099998,114.849998,109.349998,109.730003,101.508751,259868000,112.099998,original/AAPL
26,26,26,26,26,26,26,26,26,2014-12-15,110.699997,113.239998,106.260002,111.779999,103.40514399999999,328856600,109.75,original/AAPL
27,27,27,27,27,27,27,27,27,2014-12-22,112.160004,114.519997,111.970001,113.989998,105.44957,119396500,113.244999,original/AAPL
28,28,28,28,28,28,28,28,28,2014-12-29,113.790001,114.769997,107.349998,109.33000200000001,101.138702,152088400,111.05999750000001,original/AAPL
29,29,29,29,29,29,29,29,29,2015-01-05,108.290001,113.25,104.629997,112.010002,103.61792,283252500,108.9399985,original/AAPL
30,30,30,30,30,30,30,30,30,2015-01-12,112.599998,112.800003,105.199997,105.989998,98.04894300000001,303607000,109.0,original/AAPL
31,31,31,31,31,31,31,31,31,2015-01-19,107.839996,113.75,106.5,112.980003,104.515251,198737000,110.125,original/AAPL
32,32,32,32,32,32,32,32,32,2015-01-26,113.739998,120.0,109.029999,117.160004,108.382065,465842700,114.5149995,original/AAPL
33,33,33,33,33,33,33,33,33,2015-02-02,118.050003,120.510002,116.08000200000001,118.93,110.019447,270757300,118.29500200000001,original/AAPL
34,34,34,34,34,34,34,34,34,2015-02-09,118.550003,127.480003,118.43,127.08000200000001,118.022797,303206800,122.95500150000001,original/AAPL
35,35,35,35,35,35,35,35,35,2015-02-16,127.489998,129.5,126.91999799999999,129.5,120.270302,194354900,128.20999899999998,original/AAPL
36,36,36,36,36,36,36,36,36,2015-02-23,130.020004,133.600006,126.610001,128.46000700000002,119.30443600000001,368216200,130.1050035,original/AAPL
37,37,37,37,37,37,37,37,37,2015-03-02,129.25,130.279999,125.760002,126.599998,117.577003,246938500,128.0200005,original/AAPL
38,38,38,38,38,38,38,38,38,2015-03-09,127.959999,129.570007,121.629997,123.589996,114.781525,326514100,125.600002,original/AAPL
39,39,39,39,39,39,39,39,39,2015-03-16,123.879997,129.25,122.870003,125.900002,116.926895,266672900,126.0600015,original/AAPL
40,40,40,40,40,40,40,40,40,2015-03-23,127.120003,128.03999299999998,122.599998,123.25,114.465752,209326300,125.31999549999999,original/AAPL
41,41,41,41,41,41,41,41,41,2015-03-30,124.050003,126.489998,123.099998,125.32,116.38823700000002,162031800,124.79499799999999,original/AAPL
42,42,42,42,42,42,42,42,42,2015-04-06,124.470001,128.119995,124.33000200000001,127.099998,118.04135900000001,182207500,126.2249985,original/AAPL
43,43,43,43,43,43,43,43,43,2015-04-13,128.369995,128.570007,124.459999,124.75,115.85884899999999,171186100,126.51500300000001,original/AAPL
44,44,44,44,44,44,44,44,44,2015-04-20,125.57,130.630005,125.16999799999999,130.279999,120.994698,207440700,127.9000015,original/AAPL
45,45,45,45,45,45,45,45,45,2015-04-27,132.309998,134.53999299999998,124.58000200000001,128.949997,119.759514,420972300,129.5599975,original/AAPL
