Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,102.089996,102.410004,99.519997,100.389999,99.594429,38196300
2018-12-31,101.290001,102.510002,97.199997,101.930000,101.122223,155087300
2019-01-07,101.639999,104.879997,100.980003,102.800003,101.985329,157833100
2019-01-14,101.900002,107.900002,101.260002,107.709999,106.856407,155699200
2019-01-21,106.750000,107.879997,104.860001,107.169998,106.320686,112636000
2019-01-28,106.260002,106.480003,102.169998,102.779999,101.965477,201611200
2019-02-04,102.870003,107.269997,102.769997,105.669998,104.832581,130472100
2019-02-11,106.199997,108.300003,104.970001,108.220001,107.362373,110757200
2019-02-18,107.790001,111.199997,106.290001,110.970001,110.090576,96472600
2019-02-25,111.760002,113.239998,110.879997,112.529999,112.114990,119359500
2019-03-04,113.019997,113.250000,108.800003,110.510002,110.102448,111973000
2019-03-11,110.989998,117.250000,110.980003,115.910004,115.482529,173582600
2019-03-18,116.169998,120.820000,116.050003,117.050003,116.618324,160388500
2019-03-25,116.559998,118.709999,115.519997,117.940002,117.505043,119632800
2019-04-01,118.949997,120.430000,118.099998,119.889999,119.447845,99731100
2019-04-08,119.809998,120.980003,118.580002,120.949997,120.503937,83159600
2019-04-15,120.940002,123.519997,120.099998,123.370003,122.915016,77156300
2019-04-22,122.620003,131.369995,122.570000,129.889999,129.410965,132620000
2019-04-29,129.899994,130.699997,125.519997,128.899994,128.424606,119573700
2019-05-06,126.389999,128.559998,123.570000,127.129997,126.661148,146827400
2019-05-13,124.110001,130.460007,123.040001,128.070007,127.597687,139816600
2019-05-20,126.519997,128.240005,124.739998,126.239998,126.239998,92123900
2019-05-27,126.980003,128.000000,123.320000,123.680000,123.680000,89367900
2019-06-03,123.849998,132.250000,119.010002,131.399994,131.399994,147636900
2019-06-10,132.399994,134.240005,130.710007,132.449997,132.449997,102505800
2019-06-17,132.630005,137.729996,132.529999,136.970001,136.970001,133967200
2019-06-24,137.000000,138.399994,132.729996,134.149994,134.149994,94160000
