,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
0,0,0,0,0,0,0,0,0,2014-06-16,57.970001,58.619999,57.009997999999996,57.509997999999996,57.509997999999996,10691400,57.8149985,original/CRM
1,1,1,1,1,1,1,1,1,2014-06-23,57.450001,58.23,56.630001,57.380001,57.380001,21251400,57.4300005,original/CRM
2,2,2,2,2,2,2,2,2,2014-06-30,57.349998,59.490002000000004,57.349998,58.759997999999996,58.759997999999996,16718500,58.42,original/CRM
3,3,3,3,3,3,3,3,3,2014-07-07,58.720001,58.720001,53.299999,54.209998999999996,54.209998999999996,24775100,56.010000000000005,original/CRM
4,4,4,4,4,4,4,4,4,2014-07-14,54.689999,55.200001,52.48,53.5,53.5,18586800,53.8400005,original/CRM
5,5,5,5,5,5,5,5,5,2014-07-21,53.25,55.369999,52.580002,54.889998999999996,54.889998999999996,16897600,53.9750005,original/CRM
6,6,6,6,6,6,6,6,6,2014-07-28,54.740002000000004,56.490002000000004,52.91,53.48,53.48,20206200,54.700001,original/CRM
7,7,7,7,7,7,7,7,7,2014-08-04,53.889998999999996,55.330002,53.360001000000004,54.439999,54.439999,14756400,54.3450015,original/CRM
8,8,8,8,8,8,8,8,8,2014-08-11,54.68,55.18,52.5,53.630001,53.630001,23139500,53.84,original/CRM
9,9,9,9,9,9,9,9,9,2014-08-18,54.110001000000004,61.009997999999996,53.900002,59.799999,59.799999,49414800,57.455,original/CRM
10,10,10,10,10,10,10,10,10,2014-08-25,59.34,60.599998,57.799999,59.09,59.09,29949200,59.1999985,original/CRM
11,11,11,11,11,11,11,11,11,2014-09-01,59.200001,60.369999,58.75,59.810001,59.810001,16237200,59.5599995,original/CRM
12,12,12,12,12,12,12,12,12,2014-09-08,59.82,61.439999,59.060001,59.25,59.25,21391400,60.25,original/CRM
13,13,13,13,13,13,13,13,13,2014-09-15,59.150002,59.150002,56.830002,58.240002000000004,58.240002000000004,24444000,57.990002000000004,original/CRM
14,14,14,14,14,14,14,14,14,2014-09-22,58.049999,58.23,55.799999,56.560001,56.560001,21337600,57.0149995,original/CRM
15,15,15,15,15,15,15,15,15,2014-09-29,55.560001,58.560001,55.290001000000004,58.459998999999996,58.459998999999996,22931800,56.925001,original/CRM
16,16,16,16,16,16,16,16,16,2014-10-06,58.959998999999996,59.400002,54.759997999999996,54.77,54.77,20492700,57.08,original/CRM
