,Ticker,Name,Sector,Industry
0,YI,"111, Inc.",Health Care,Medical/Nursing Services
1,PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
2,PIHPP,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
3,TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services
4,FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores
5,BCOW,"1895 Bancorp of Wisconsin, Inc.",Finance,Banks
6,FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions
7,SRCE,1st Source Corporation,Finance,Major Banks
8,VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
9,TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software
10,QFIN,"360 Finance, Inc.",Finance,Finance: Consumer Services
11,JOBS,"51job, Inc.",Technology,Diversified Commercial Services
12,JFK,8i Enterprises Acquisition Corp,Finance,Business Services
13,JFKKR,8i Enterprises Acquisition Corp,Finance,Business Services
14,JFKKU,8i Enterprises Acquisition Corp,Finance,Business Services
15,JFKKW,8i Enterprises Acquisition Corp,Finance,Business Services
16,EGHT,8x8 Inc,Technology,EDP Services
17,AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
18,ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
19,ABEOW,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
20,ABIL,Ability Inc.,Capital Goods,Telecommunications Equipment
21,ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments
22,AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production
23,ACIU,AC Immune SA,Health Care,Major Pharmaceuticals
24,ACIA,"Acacia Communications, Inc.",Technology,Semiconductors
25,ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
26,ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities
27,ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
28,ACAM,Acamar Partners Acquisition Corp.,Finance,Business Services
29,ACAMU,Acamar Partners Acquisition Corp.,Finance,Business Services
30,ACAMW,Acamar Partners Acquisition Corp.,Finance,Business Services
31,ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals
32,AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
33,ACCP,"Accelerated Pharma, Inc.",,
34,XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
35,ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
36,ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
37,ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals
38,ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
39,ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
40,ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
41,ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals
42,ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components
43,ACNB,ACNB Corporation,Finance,Major Banks
44,ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
45,ACTT,Act II Global Acquisition Corp.,Finance,Business Services
46,ACTTU,Act II Global Acquisition Corp.,Finance,Business Services
47,ACTTW,Act II Global Acquisition Corp.,Finance,Business Services
48,ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
49,ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
50,ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
51,ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
52,ADPT,Adaptive Biotechnologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
53,ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
54,AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services
55,IOTS,Adesto Technologies Corporation,Technology,Semiconductors
56,ADIL,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals
57,ADILW,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals
58,ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
59,ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software
60,ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.
